schedule,category,product,charge_name,condition,amount,vat_note,source_file
Cards,Credit Cards,Visa Classic,Card replacement fee,Credit Cards,"BDT 1,000",,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Gold,Card replacement fee,Credit Cards,"BDT 1,000",,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Platinum,Card replacement fee,Credit Cards,"BDT 1,200",,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Women Platinum,Card replacement fee,Credit Cards,"BDT 1,200",,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Army/Air Force/Navy Platinum,Card replacement fee,Credit Cards,"BDT 1,200",,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Corporate Platinum,Card replacement fee,Credit Cards,"BDT 1,000",,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Signature Light / Women Signature,Card replacement fee,Credit Cards,"BDT 1,200",,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Signature Acci,Card replacement fee,Credit Cards,"BDT 1,200",,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Infinite,Card replacement fee,Credit Cards,"BDT 1,200",,SOC-Cards_fees.pdf
Cards,Credit Cards,Mastercard Titanium,Card replacement fee,Credit Cards,"BDT 1,200",,SOC-Cards_fees.pdf
Cards,Credit Cards,Mastercard World,Card replacement fee,Credit Cards,"BDT 1,200",,SOC-Cards_fees.pdf
Cards,Credit Cards,Diners Club,Card replacement fee,Credit Cards,"BDT 1,000",,SOC-Cards_fees.pdf
Cards,Credit Cards,UnionPay Platinum,Card replacement fee,Credit Cards,"BDT 1,000",,SOC-Cards_fees.pdf
Cards,Credit Cards,FX Credit,Card replacement fee,Credit Cards,$ 9,,SOC-Cards_fees.pdf
Cards,Debit Cards,Classic Debit,Card replacement fee,Debit Cards,BDT 500,,SOC-Cards_fees.pdf
Cards,Debit Cards,Platinum Debit,Card replacement fee,Debit Cards,BDT 600,,SOC-Cards_fees.pdf
Cards,Debit Cards,Signature (Regular) / World Debit,Card replacement fee,Debit Cards,BDT 700,,SOC-Cards_fees.pdf
Cards,Debit Cards,Signature Priority Debit,Card replacement fee,Debit Cards,Not applicable,,SOC-Cards_fees.pdf
Cards,Debit Cards,Global / Mastercard World RFCD Debit,Card replacement fee,Debit Cards,$ 10,,SOC-Cards_fees.pdf
Cards,Debit Cards,UnionPay Classic Debit,Card replacement fee,Debit Cards,BDT 500,,SOC-Cards_fees.pdf
Cards,Debit Cards,TakaPay Debit,Card replacement fee,Debit Cards,BDT 300,,SOC-Cards_fees.pdf
Cards,Prepaid Cards,Payroll Prepaid Card,Card replacement fee,Prepaid Cards,BDT 200,,SOC-Cards_fees.pdf
